entry_time,exit_time,entry_price,exit_price,pnl_pct,exit_reason,position_size,exit_reason_desc,position_type,return_1d,return_3d,return_5d,return_10d,vix_cap
2013-10-22 00:00:00,2013-10-27 00:00:00,1737.0,1753.75,0.91430627518711,8,1.0,Time Exit (Days),long,0.5325273459988455,0.9643062751871101,1.7271157167530138,1.5256188831318296,30
2013-10-29 00:00:00,2013-11-03 00:00:00,1757.25,1754.75,-0.19226774790154771,8,1.0,Time Exit (Days),long,-0.21340162185232714,-0.14226774790154773,0.35566936975388597,0.09958742353108896,30
2013-11-04 00:00:00,2013-11-08 07:30:00,1758.5,1740.915,-1.050000000000001,1,1.0,Stop Loss,long,0.2843332385555897,-0.5828831390389588,0.6255331248222973,1.8339493886835312,30
2013-11-08 10:38:00,2013-11-13 10:38:00,1758.5,1763.0,0.20589991470003072,8,1.0,Time Exit (Days),long,0.028433323855558967,1.7628660790446338,2.032982655672444,2.4310491896502695,30
2013-11-13 11:21:00,2013-11-18 11:21:00,1766.5,1796.25,1.6341211435041136,8,1.0,Time Exit (Days),long,1.5709029153693654,1.0048117746957352,1.4576846872346394,2.306821398245118,30
2013-11-21 04:13:00,2013-11-26 04:13:00,1783.0,1802.0,1.0156197420078505,8,1.0,Time Exit (Days),long,1.0235558048233395,1.3180033651149836,1.191811553561406,1.2759394279304503,30
2013-11-27 00:00:00,2013-12-02 00:00:00,1802.0,1804.5,0.08873473917869194,8,1.0,Time Exit (Days),long,0.291342952275242,-0.11098779134295356,-0.6659267480577102,-1.3041065482796932,30
2013-12-06 07:46:00,2013-12-11 07:46:00,1798.0,1803.25,0.24199110122357653,8,1.0,Time Exit (Days),long,0.2919911012235765,-1.1123470522803158,-1.69632925472748,1.0706340378197954,30
2013-12-16 08:35:00,2013-12-18 13:00:00,1783.5,1765.665,-1.050000000000001,1,1.0,Stop Loss,long,0.9671993271656909,1.8923465096719827,2.5651808242220353,3.518362769834593,30
2013-12-18 13:06:00,2013-12-23 13:06:00,1786.0,1820.75,1.8956886898096215,8,1.0,Time Exit (Days),long,1.7497200447928352,2.42161254199329,2.771556550951848,2.043673012318026,30
2013-12-24 00:00:00,2013-12-29 00:00:00,1822.25,1836.75,0.7457195774454639,8,1.0,Time Exit (Days),long,0.38414048566333125,0.795719577445464,1.3170530937028468,0.5762107284949858,30
2013-12-31 00:00:00,2014-01-05 00:00:00,1835.0,1823.25,-0.6903269754768349,8,1.0,Time Exit (Days),long,0.6130790190735702,-0.6403269754768348,-0.12261580381471848,-0.10899182561308063,30
2014-01-05 17:16:00,2014-01-10 17:16:00,1826.5,1837.5,0.5522447303586142,8,1.0,Time Exit (Days),long,0.3421845058855677,0.5064330687106544,0.6022447303586143,0.39693402682725587,30
2014-01-14 11:21:00,2014-01-19 11:21:00,1829.5,1833.75,0.18230390817163827,8,1.0,Time Exit (Days),long,0.4509428805684612,0.23230390817163826,0.16397922929762832,-3.047280677780817,30
2014-01-20 18:26:00,2014-01-23 11:31:00,1836.5,1818.135,-1.050000000000001,1,1.0,Stop Loss,long,-0.21780560849441466,-3.062891369452758,-2.150830383882385,-5.268173155458755,30
2014-02-06 13:18:00,2014-02-11 13:18:00,1767.25,1812.5,2.5104753147545624,8,1.0,Time Exit (Days),long,1.4853586080067815,2.2775498656104176,3.7770547460744153,3.7487622011600052,30
2014-02-13 00:00:00,2014-02-18 00:00:00,1807.25,1838.5,1.6791464932909006,8,1.0,Time Exit (Days),long,1.4801493982570246,1.5216489140960077,1.9366440724858158,2.4761377783925953,30
2014-02-20 03:20:00,2014-02-25 03:20:00,1824.25,1842.75,0.9641153898862498,8,1.0,Time Exit (Days),long,0.5070576949431249,1.1922707962176204,2.000822255721535,2.8778950253528945,30
2014-02-27 00:00:00,2014-03-04 00:00:00,1846.25,1848.25,0.05832769126607466,8,1.0,Time Exit (Days),long,0.7853757616790746,1.2863913337846977,1.8009478672985857,0.10832769126607467,30
2014-03-04 00:04:00,2014-03-09 00:04:00,1857.5,1876.75,0.9863391655450859,8,1.0,Time Exit (Days),long,1.1843876177658252,1.036339165545086,0.8613728129206022,-0.44414535666218447,30
2014-03-10 00:00:00,2014-03-13 11:37:00,1872.0,1853.28,-1.050000000000001,1,1.0,Stop Loss,long,-0.4139957264957306,-1.2686965811965822,-1.0283119658119677,-1.041666666666663,30
2014-03-17 09:02:00,2014-03-22 09:02:00,1854.5,1857.25,0.09828794823402713,8,1.0,Time Exit (Days),long,-0.28309517390132655,0.14828794823402713,0.36397950930169287,1.4154758695066105,30
2014-03-23 00:00:00,2014-03-26 00:00:00,1857.25,1861.25,0.16537219006595444,4,1.0,MA Cross,long,-0.2557544757033292,-0.6191950464396245,-0.3903620944945452,0.22883295194509046,30
2014-03-28 08:39:00,2014-04-02 08:39:00,1853.5,1877.5,1.2448475856487728,8,1.0,Time Exit (Days),long,1.4701915295387114,1.7264634475316898,0.4316158618829169,-2.2659832748853526,30
2014-04-03 00:00:00,2014-04-04 12:57:00,1882.75,1863.9225,-1.050000000000001,1,1.0,Stop Loss,long,-1.1286681715575675,-1.9386535652635817,-2.868145000663924,-1.341123356791929,30
2014-04-09 13:09:00,2014-04-10 11:44:00,1859.25,1840.6575,-1.050000000000001,1,1.0,Stop Loss,long,-2.568239881672718,-0.7126529514589253,-0.09412397472099432,0.658867823046938,30
2014-04-15 15:00:00,2014-04-20 15:00:00,1837.5,1857.5,1.0384353741496655,8,1.0,Time Exit (Days),long,1.0884353741496655,1.0884353741496655,2.2176870748299216,2.1496598639455744,30
2014-04-21 00:00:00,2014-04-26 00:00:00,1860.25,1860.25,-0.05,8,1.0,Time Exit (Days),long,0.7391479639833332,0.6047574250772847,0.470366886171214,0.9944899879048563,30
2014-04-28 02:01:00,2014-04-28 12:33:00,1863.75,1845.1125,-1.050000000000001,1,1.0,Stop Loss,long,0.7109322602280255,0.46948356807512415,-0.026827632461434714,1.7437961099932897,30
2014-04-30 00:00:00,2014-05-05 00:00:00,1869.0,1872.5,0.13726591760298562,8,1.0,Time Exit (Days),long,0.48154093097914075,0.5216693418940599,0.2808988764045006,0.8560727661851342,30
2014-05-07 10:56:00,2014-05-12 10:56:00,1871.75,1888.75,0.858240950981698,8,1.0,Time Exit (Days),long,0.1602778148791284,1.308935488179519,-0.2537732068919496,1.0551622812875694,30
2014-05-13 00:00:00,2014-05-15 08:41:00,1895.0,1876.05,-1.050000000000001,1,1.0,Stop Loss,long,-0.527704485488123,-1.0422163588390543,-1.4248021108179465,0.79155672823219,30
2014-05-19 10:06:00,2014-05-24 10:06:00,1878.5,1896.5,0.9082113388341806,8,1.0,Time Exit (Days),long,0.5855735959542141,0.9582113388341806,1.676869842959805,2.235826457279755,30
2014-05-26 00:00:00,2014-05-31 00:00:00,1897.75,1919.0,1.0697470688973698,8,1.0,Time Exit (Days),long,0.6455012514820169,0.9221446449743098,1.1856145435384047,2.5820050059280675,30
