symbol,date,expected_minutes,actual_minutes,missing_minutes
ES,2013-04-02,390,375,15
ES,2013-04-03,390,375,15
ES,2013-04-04,390,374,16
ES,2013-04-05,390,375,15
ES,2013-04-08,390,375,15
ES,2013-04-09,390,375,15
ES,2013-04-10,390,375,15
ES,2013-04-11,390,375,15
ES,2013-04-12,390,375,15
ES,2013-04-15,390,375,15
ES,2013-04-16,390,375,15
ES,2013-04-17,390,375,15
ES,2013-04-18,390,375,15
ES,2013-04-19,390,373,17
ES,2013-04-22,390,373,17
ES,2013-04-23,390,373,17
ES,2013-04-24,390,375,15
ES,2013-04-25,390,371,19
ES,2013-04-26,390,375,15
ES,2013-04-29,390,375,15
ES,2013-04-30,390,375,15
ES,2013-05-01,390,375,15
ES,2013-05-02,390,375,15
ES,2013-05-03,390,375,15
ES,2013-05-06,390,375,15
ES,2013-05-07,390,374,16
ES,2013-05-08,390,375,15
ES,2013-05-09,390,375,15
ES,2013-05-10,390,375,15
ES,2013-05-13,390,375,15
ES,2013-05-14,390,375,15
ES,2013-05-15,390,375,15
ES,2013-05-16,390,375,15
