event_date,event_type,surprise_direction,actual_value,forecast_value,surprise_pct,return_day_-2,return_day_-1,return_day_+0,return_day_+1,return_day_+2
2016-06-16,CPI,better,1.07848,1.1,-1.9563636363636148,-0.17988898829277566,-0.18406799915194894,0.31281679942070095,-0.3257971684039296,0.5813027167694163
2016-07-15,CPI,better,1.07929,1.1,-1.8827272727272533,0.013010306020988516,0.5263842558608456,-0.09335644136336807,0.23869770970472715,0.23869770970472715
2016-07-27,FOMC,inline,0.4,0.37,8.108108108108116,-0.30114527155947757,0.031819523352760726,0.23873194474002268,0.16062180948777094,0.16312913007012764
2016-08-16,CPI,better,0.86836,0.8999999999999999,-3.515555555555544,0.2792976351273957,0.2792976351273957,-0.5479076775563363,0.1868558180106783,0.2199594907937863
2016-09-16,CPI,worse,1.05532,1.0,5.532000000000004,-0.05876766556026647,1.010927804983619,-0.37722492851356426,-0.0018698928551330596,-0.0018698928551330596
2016-09-21,FOMC,inline,0.4,0.4,0.0,-0.0018698928551330596,0.029918845132592686,0.7771006876502451,0.6499870557343135,-0.5736778768866024
2016-10-18,CPI,worse,1.54864,1.5,3.242666666666668,-0.3038003169274939,-0.3038003169274939,0.6160357394780158,0.21919985043934442,-0.13757467506726462
2016-11-02,FOMC,inline,0.41,0.4,2.4999999999999885,-0.012227181023405365,-0.6786915316417175,-0.23586475819107333,-0.44233867508127744,-0.16661400132141901
2016-11-17,CPI,worse,1.68592,1.6,5.37,0.7480824323075508,-0.15822857378724464,0.4676288735564471,-0.2386700318226631,0.7461386864659136
2016-12-14,FOMC,inline,0.41,0.41,0.0,-0.11374046815045835,0.6539770310506121,-0.7028815941971467,0.3883228005396644,-0.17506399119374683
2016-12-15,CPI,better,1.68433,1.7000000000000002,-0.9217647058823571,0.6539770310506121,-0.8117197541950394,0.3883228005396644,-0.17506399119374683,0.1975138060378967
2017-01-18,CPI,better,2.0508,2.1,-2.3428571428571385,-0.29675025498540064,-0.29675025498540064,0.17637539739581154,-0.36093296770529637,0.3366185299223723
2017-02-01,FOMC,better,0.66,2.2,-70.0,-0.6009526341248739,-0.08899995615766487,0.04871754358246605,0.05702879954376794,0.7264835478001608
